project_id,project_name,project_type,launch_status,city,locality,state,latitude,longitude,address,postal_code,price_min,price_max,price_label,site_plan_url,has_rera_disclaimer,available_bhk_types,highlights,government_charges,bhk,property_type,area_sqft,area_type,price,price_authentic,possession,possession_raw,floorplan_2d_url,floorplan_3d_url,sellers
406898,Highline by AG Group,Residential,NEW LAUNCH,Ahmedabad West,Sola,Gujarat,23.09594309762,72.528014231255,"Gokul Road, S.G Highway, Gota, Ahmedabad - 382481",0,15500000,50896149,1.55 - 5.09 Cr,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=52572,True,"3,4","Luxurious three bedrooms and four bathroom units with minimum space wastage, having a customizable payment plan | Gujarat's  largest and iconic project with multiple usage of building | IGBC Gold certified building & 100 ft. minimum distance between each tower & 4 road corner plot | Design by international architect and construction by Rivera Infra Projects Pvt. Ltd.","Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",4,Apartment,5391.0,Super Built-up Area,50896149,True,Dec ‘26 possession,12-2026,https://imagecdn.99acres.com/projects/example/kqirlr2_1756452055_640096327.jpg,,MID FLOOR LLP (RERA REGISTERED Dealer) | AV REALTY (Dealer) | Daksh Realtors (Dealer)
396846,Divya Heights,Residential,NEW LAUNCH,Ahmedabad North,Vaishnodevi Circle,Gujarat,23.132898,72.546443,"Vaishnodevi Circle , Ahmedabad North",0,15100000,15100000,1.51 Cr,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=50059,True,3,Double storey club house | Party function area on terrace | Each flat facing garden view | Each flat has personal foyer,"Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",3,Apartment,2727.0,Super Built-up Area,15100000,True,Jun ‘26 possession,06-2026,https://newprojects.99acres.com/projects/nishan_group/nishan_divya_heights/maps/j370ignv.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=50059&bno=101&blockId=102740&fno=F1_101&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,Jaimin Patel (Builder)
402982,Gala Ikebana,Residential,NEW LAUNCH,Ahmedabad West,Bodakdev,Gujarat,23.0395628765,72.504372232801,Ahmedabad,380054,65058841,106852400,6.51 - 10.69 Cr,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=51603,True,"4,5",Well connected with National highway 147 with the distance of 1.3 km | Thaltej metro station at the distance of 2 km | Ambli Road Railway Station only at the distance of 2.8 km | Shalby Multi-Specialty Hospitals at the distance of 3.1 km ,"Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",4,Apartment,3317.2,Carpet Area,65058841,True,Jul ‘27 possession,07-2027,https://imagecdn.99acres.com/projects/example/joxzium_1750930003_611942457.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=51603&bno=102&blockId=106246&fno=F1_102&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,Parikh Realestate Management Pvt Ltd (RERA REGISTERED Dealer) | Kunal Shah (RERA REGISTERED Dealer)
402982,Gala Ikebana,Residential,NEW LAUNCH,Ahmedabad West,Bodakdev,Gujarat,23.0395628765,72.504372232801,Ahmedabad,380054,65058841,106852400,6.51 - 10.69 Cr,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=51603,True,"4,5",Well connected with National highway 147 with the distance of 1.3 km | Thaltej metro station at the distance of 2 km | Ambli Road Railway Station only at the distance of 2.8 km | Shalby Multi-Specialty Hospitals at the distance of 3.1 km ,"Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",4,Apartment,3979.26,Carpet Area,78043151,True,Jul ‘27 possession,07-2027,https://newprojects.99acres.com/projects/gala_group/gala_ikebana/maps/es755dgm.png,,Parikh Realestate Management Pvt Ltd (RERA REGISTERED Dealer) | Kunal Shah (RERA REGISTERED Dealer)
402982,Gala Ikebana,Residential,NEW LAUNCH,Ahmedabad West,Bodakdev,Gujarat,23.0395628765,72.504372232801,Ahmedabad,380054,65058841,106852400,6.51 - 10.69 Cr,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=51603,True,"4,5",Well connected with National highway 147 with the distance of 1.3 km | Thaltej metro station at the distance of 2 km | Ambli Road Railway Station only at the distance of 2.8 km | Shalby Multi-Specialty Hospitals at the distance of 3.1 km ,"Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",4,Apartment,3982.81,Carpet Area,78101992,True,Jul ‘27 possession,07-2027,https://newprojects.99acres.com/projects/gala_group/gala_ikebana/maps/bfrrq6x6.png,,Parikh Realestate Management Pvt Ltd (RERA REGISTERED Dealer) | Kunal Shah (RERA REGISTERED Dealer)
402982,Gala Ikebana,Residential,NEW LAUNCH,Ahmedabad West,Bodakdev,Gujarat,23.0395628765,72.504372232801,Ahmedabad,380054,65058841,106852400,6.51 - 10.69 Cr,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=51603,True,"4,5",Well connected with National highway 147 with the distance of 1.3 km | Thaltej metro station at the distance of 2 km | Ambli Road Railway Station only at the distance of 2.8 km | Shalby Multi-Specialty Hospitals at the distance of 3.1 km ,"Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",4,Apartment,3987.12,Carpet Area,78200061,True,Jul ‘27 possession,07-2027,https://newprojects.99acres.com/projects/gala_group/gala_ikebana/maps/mqr3wx38.png,,Parikh Realestate Management Pvt Ltd (RERA REGISTERED Dealer) | Kunal Shah (RERA REGISTERED Dealer)
402982,Gala Ikebana,Residential,NEW LAUNCH,Ahmedabad West,Bodakdev,Gujarat,23.0395628765,72.504372232801,Ahmedabad,380054,65058841,106852400,6.51 - 10.69 Cr,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=51603,True,"4,5",Well connected with National highway 147 with the distance of 1.3 km | Thaltej metro station at the distance of 2 km | Ambli Road Railway Station only at the distance of 2.8 km | Shalby Multi-Specialty Hospitals at the distance of 3.1 km ,"Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",5,Apartment,5379.25,Carpet Area,91304060,True,Jul ‘27 possession,07-2027,https://newprojects.99acres.com/projects/gala_group/gala_ikebana/maps/qzkkr0w_1713428031_486938324.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=51603&bno=114&blockId=106246&fno=F1_114&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,Parikh Realestate Management Pvt Ltd (RERA REGISTERED Dealer) | Kunal Shah (RERA REGISTERED Dealer)
402982,Gala Ikebana,Residential,NEW LAUNCH,Ahmedabad West,Bodakdev,Gujarat,23.0395628765,72.504372232801,Ahmedabad,380054,65058841,106852400,6.51 - 10.69 Cr,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=51603,True,"4,5",Well connected with National highway 147 with the distance of 1.3 km | Thaltej metro station at the distance of 2 km | Ambli Road Railway Station only at the distance of 2.8 km | Shalby Multi-Specialty Hospitals at the distance of 3.1 km ,"Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",5,Apartment,5383.12,Carpet Area,91371957,True,Jul ‘27 possession,07-2027,https://newprojects.99acres.com/projects/gala_group/gala_ikebana/maps/jahhgur_1713428031_486938332.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=51603&bno=112&blockId=106246&fno=F1_112&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,Parikh Realestate Management Pvt Ltd (RERA REGISTERED Dealer) | Kunal Shah (RERA REGISTERED Dealer)
402982,Gala Ikebana,Residential,NEW LAUNCH,Ahmedabad West,Bodakdev,Gujarat,23.0395628765,72.504372232801,Ahmedabad,380054,65058841,106852400,6.51 - 10.69 Cr,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=51603,True,"4,5",Well connected with National highway 147 with the distance of 1.3 km | Thaltej metro station at the distance of 2 km | Ambli Road Railway Station only at the distance of 2.8 km | Shalby Multi-Specialty Hospitals at the distance of 3.1 km ,"Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",5,Apartment,6278.0,Carpet Area,106563839,True,Jul ‘27 possession,07-2027,https://newprojects.99acres.com/projects/gala_group/gala_ikebana/maps/2xens8i_1713428031_486938328.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=51603&bno=113&blockId=106246&fno=F1_113&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,Parikh Realestate Management Pvt Ltd (RERA REGISTERED Dealer) | Kunal Shah (RERA REGISTERED Dealer)
402982,Gala Ikebana,Residential,NEW LAUNCH,Ahmedabad West,Bodakdev,Gujarat,23.0395628765,72.504372232801,Ahmedabad,380054,65058841,106852400,6.51 - 10.69 Cr,https://www.99acres.com/exidmicrosite/siteplan_g2c.php?live=2&g2c=1&xid_request=1&code=51603,True,"4,5",Well connected with National highway 147 with the distance of 1.3 km | Thaltej metro station at the distance of 2 km | Ambli Road Railway Station only at the distance of 2.8 km | Shalby Multi-Specialty Hospitals at the distance of 3.1 km ,"Stamp Duty: 5.9 % for Male, 4.9 % for Female, 5.9 % for Joint (Male and Female), 4.9 % For Joint (Female and Female) | Registration Charges: Male Ownership: 1%, Female Ownership: No registration charges,  Joint (Male + Female) Ownership: 1 % ",5,Apartment,6295.0,Carpet Area,106852400,True,Jul ‘27 possession,07-2027,https://newprojects.99acres.com/projects/gala_group/gala_ikebana/maps/ug9u0jy_1713428031_486938326.jpg,https://www.99acres.com/exidmicrosite/property_2d3d_xid.php?projectCode=51603&bno=115&blockId=106246&fno=F1_115&measurement=1&jquery=1&compare=1&g2c=1&hide_button=1&switch_HD=1&platform=DESKTOP,Parikh Realestate Management Pvt Ltd (RERA REGISTERED Dealer) | Kunal Shah (RERA REGISTERED Dealer)
