property_listing_id,property_title,property_property_type,property_project_name,property_bhk,property_bathrooms,property_builtup_area_sqft,property_carpet_area_sqft,property_furnishing,property_possession,property_posted_on,price_price,price_price_per_sqft,price_total_price_text,loc_city_id,loc_locality_id,loc_address,loc_latitude,loc_longitude,images_all,nearby_summary
R87491560,"Flat/Apartment for Sale in Water Lily by Adani Realty, Adani Shantigram, Vaishnodevi Circle",Flat/Apartment,Water Lily by Adani Realty,4,6,,2175.28,Semifurnished,Immediate,Updated 1m ago by dealer,29000000,8923,Rs2.9 Crore,1008530,19501,"in Water Lily by Adani Realty, Adani Shantigram, Vaishnodevi Circle",,,,Adani Shantigram Mall (None) | Sarkhej - Gandhinagar Highway (None) | Adani International School (None) | Adani University (None) | Marengo Cims Hospital (None) | Sardar Vallabhbhai Patel Int Airport (None) | Inspire Business Park (None) | The Belvedere Golf And Country Club (None) | The Belvedere Golf And Country Club (None) | Sardar Patel Stadium Navrangpura (None)
G87270544,"Flat/Apartment for Sale in Orchid Sky, Shela, Ahmedabad",Flat/Apartment,Orchid Sky,3,3,,815.0,Furnished,Immediate,Updated 1m ago by dealer,14500000,9770,Rs1.45 Crore,49,27163,"in Orchid Sky, Shela, Ahmedabad",,,,Thaltej Metro Station (None) | TRP Mall Bopal (None) | Club O7 Road (None) | NH947 (None) | Shanti Asiatic School (None) | Ahmedabad University (None) | Tej Hospital (None) | SVP International Airport (None) | Ahmedabad Junction (None) | Parshwanath Business Park (None) | Crowne Plaza (None)
G86268976,"Flat/Apartment for Sale in Vyapti Vandemataram City, Chandlodiya, Ahmedabad",Flat/Apartment,Vyapti Vandemataram City,2,2,,800.0,Furnished,Immediate,Updated 3m ago by dealer,4800000,6000,Rs48 Lac,1008530,7611,"in Vyapti Vandemataram City, Chandlodiya, Ahmedabad",,,,CHANDLODIA MARKET (None) | Chandlodiya Temple (None) | Khodiyar Temple (None) | Bhagwat Vidyapeeth (None) | Achleshwar Mahadev (None) | State bank of india ATM (None) | Navkar Dental Clinic (None) | Hridaan Hospital & Pharmacy (None) | Satyam Hospital (None) | Pearl Dental Care (None) | Vraj Dental Clinic (None) | vizcare hospital (None) | S G Hospital Chandlodiya (None) | BalMukund Hospital (None) | Samata Hospital Pvt.Ltd (None) | Shri Yogeshwar General Hospital (None) | Mahalaxmi Maternity Nursing Home and Sonography Center (None) | Aalisha Clinic (None) | Shri Rang Hospitaland Research Centre (None) | Samarpan General Hospital Ahmedabad (None) | Health Center (None) | Gmers Medical College Hospital (None) | Pushpam Hospital Ahmedabad (None) | J J Hospital Ahmedabad (None) | Mahavir Clinic and Nursing Home (None) | Kalyani Nursing Home and Sonography Clinic (None) | Jainee Surgical Hospital (None) | Vinayak Children Hospital-Ahmedabad (None) | Prime Dental Care (None) | Poojan Children Hospital And Neonatal Care Centre (None) | Jay Umiya Hospital (None) | Vardan Eye Hospital Ahmedabad (None) | Siddhi Heart and Medical Hospital (None) | Amijeet Maternity Hospital (None) | Aastha Eye Care Centre (None) | Aneri Children Hospital (None) | West Cost pharma (None) | Kesharbhavani Medical Store (None) | D-cabin (None) | Food Temple (None) | RC TECHNICAL INSTITUTE (None) | Gyanda Girls High School (None) | Nalanda School (None) | M B Patel Gyanjyot High School (None) | St. Xavier's College (None) | Chandlodiya railway station (None) | Chandkheda road railway station (None) | Sabarmati 'd' cabin railway station (None) | CoRo Technologies (None) | Vinu Makad Gym & Swimming Pool AUDA (None)
V88034824,"Flat/Apartment for Sale in Shree Shyam Hills, New Ranip, Ahmedabad",Flat/Apartment,Shree Shyam Hills,3,3,,,Semifurnished,Immediate,Posted 3w ago by dealer,7700000,4806,Rs77 Lac,1008530,7722,"in Shree Shyam Hills, New Ranip, Ahmedabad",,,,Thaltej Gam (None) | Alfa Shopping Centre (None) | NH 147 (None) | Digvijay Hindi Medium School (None) | Ahmedabad University (None) | Vijay Shalby Hospital (None) | Airports Authority of India (None) | AEC (None) | Atharva Business Hub (None) | Hyatt (None) | Adventure World Amusement Park (None) | Army Golf Course (None) | Sardar Patel Stadium (None)
Q87458540,"Flat/Apartment for Sale in Turquoise Blu, Shela, Ahmedabad",Flat/Apartment,Turquoise Blu,3,3,,901.0,Furnished,Immediate,Updated 1m ago by dealer,8000000,5263,Rs80 Lac,49,27163,"in Turquoise Blu, Shela, Ahmedabad",,,,Applewoods Galleria Mall (None) | Artsy Kids (None) | LDR International School (None) | Corporation Bank ATM (None) | VEDA Health Clinic (None) | Krishna Shalby Hospital (None) | SVP Airport (None) | IndusInd Bank (None) | Adarsh Medical Store (None) | Skycity Central Park (None) | Neon Sports Academy (None) | Chandlodia Railway Station (None) | Sunrise Cricket Stadium (None) | Birju Farm (None) | Water Aerodrome (None)
C86920632,"Flat/Apartment for Sale in Savvy Swaraaj Sports Living, Jagatpur, Ahmedabad",Flat/Apartment,Savvy Swaraaj Sports Living,2,2,,,Unfurnished,Immediate,Updated 1w ago by dealer,5800000,4793,Rs58 Lac,1008530,14756,"in Savvy Swaraaj Sports Living, Jagatpur, Ahmedabad",,,,Nirma University (None) | Silver Oak University (None) | Shivam Multispecialty Hospital (None) | Airport (None) | ICICI Bank Ahmedabad-IOCL (None) | Karnavati Club (None) | BRTS Station (None) | Chandkhera Road Station (None) | Sabarmati F Cabin Station (None) | Chandlodiya Station (None) | Chandlodia Lake (None) | Indian Oil Chandlodiya Rd (None) | Kaligam Fort (None) | High Court of Gujarat (None) | Peacock Wedding & Celebrations (None)
F87291336,"Flat/Apartment for Sale in Vishwanath Sarathya, Shela, Ahmedabad",Flat/Apartment,Vishwanath Sarathya,3,3,,,Semifurnished,Immediate,Updated 1m ago by dealer,7400000,5156,Rs74 Lac,49,27163,"in Vishwanath Sarathya, Shela, Ahmedabad",,,,SoBo Centre (None) | State bank of india sbi ATM (None) | Icici ATM (None) | Hdfc ATM (None) | Axis ATM (None) | Atm hdfc bank (None) | Navkaar Hospital (None) | Sannidhya Hospital (None) | Life Care Hospital (None) | Shivam Hospital (None) | Adarsh Hospital (None) | Royal Maternity and Nursing Home (None) | Aastha Orthopaedic Hospital Ahmedabad (None) | Bopal Multispeciality Hospital (None) | Shreeji Children Hospital (None) | Devasya Superspeciality Kidney Institute and Research Centre (None) | Vanza Hospital (None) | Vaishali Hospital (None) | Laxmi Heart and Medical Hospital (None) | Jay Prasuti Gruh and Nursing Home (None) | Krishna Maternity Nursing Home (None) | Bopal Eye Care Centre (None) | Apollo Pharmacy (None) | Regus Business Centre (None) | AMTS Ghuma Bus terminal (None) | Ghuma BRTS terminal (None) | Bopal gam (None) | Sterling City (None) | Indian oil CNG n Petrol (None) | State bank of india (None) | Upper Crest (None) | Purohit Chavana and Sweet Mart (None) | Hocco Eatery (None) | McDonald's (None) | Jalaram Parotha house (None) | Havmor restaurant (None) | CTP3R-WDFCC Project Office Larsen & Toubro Limited (None)
P86381998,"Flat/Apartment for Sale in Dev Aurum, Prahlad Nagar, SG Highway",Flat/Apartment,Dev Aurum,4,4,,,Furnished,Immediate,Updated 1m ago by dealer,25000000,9167,Rs2.5 Crore,49,6040,"in Dev Aurum, Prahlad Nagar, SG Highway",,,,TRP Mall (None) | NH 127 (None) | Ananda Global School (None) | ITM Group of Institutions (None) | Ahmedabad International Airport (None) | Vastrapur Railway Station (None) | The Address (None) | Holiday Inn Express (None) | Adventure Park (None) | EKA Arena (None)
R88326722,"Flat/Apartment for Sale in Adani Aster Neo, Adani Shantigram, Vaishnodevi Circle",Flat/Apartment,Adani Aster Neo,2,2,62.25,650.0,Semifurnished,Immediate,Updated 1w ago by dealer,7800000,6419,Rs78 Lac,1008530,19501,"in Adani Aster Neo, Adani Shantigram, Vaishnodevi Circle",,,,Centre Point (None) | National Highway 147 (None) | Adani Institute of Infrastructure Eng. (None) | Apollo International School Tragad (None) | KD Hospital (None) | SVP International Airport (None) | Khodiyar Railway Station (None) | The Belvedere Golf and Country Club (None) | Motera Stadium Metro Station (None)
I88319992,"Flat/Apartment for Sale in Safal Riviera Aspire, Shela, Ahmedabad",Flat/Apartment,Safal Riviera Aspire,4,4,171.87,1710.0,Unfurnished,Immediate,Updated 4d ago by dealer,19100000,5803,Rs1.91 Crore,49,27163,"in Safal Riviera Aspire, Shela, Ahmedabad",,,,"Applewoods Galleria Mall (None) | VIP Rd (None) | NH147, Gujarat (None) | MICA (None) | Apple Global School (None) | Sahyog Hospital (None) | SVP International Airport (None) | Ahmedabad Junction (None) | Parshwanath Business Park (None) | Taj Skyline, Ahmedabad (None) | Joybox Fun & Food Park (None) | Gulmohar Greens Golf & Country Club (None)"
