property_listing_id,property_title,property_property_type,property_project_name,property_bhk,property_bathrooms,property_builtup_area_sqft,property_carpet_area_sqft,property_furnishing,property_possession,property_posted_on,price_price,price_price_per_sqft,price_total_price_text,loc_city_id,loc_locality_id,loc_address,loc_latitude,loc_longitude,images_all,nearby_summary
D85437812,"Independent House/Villa for Sale in Heritage Villa 76, Kasindra, Ahmedabad",Independent House/Villa,Heritage Villa 76,4,0,352.85,,,By 2027,Updated 4m ago by builder,13500000,3554,Rs 1.35 Crore,47,32947,"in Heritage Villa 76, Kasindra, Ahmedabad",,,,Satyam Mall (None) | National Highway 751 (None) | Alpha International School (None) | L J University (None) | Sri Sathya Sai Heart Hospital (None) | Sardar Vallabhbhai Patel Int. Airport (None) | Moraiya Railway Station (None) | Business Square (None)
K87008224,"Flat/Apartment for Sale in Anand View Apartment, Shahibaug, Ahmedabad",Flat/Apartment,Anand View Apartment,2,2,,65,Semifurnished,Immediate,Updated 1w ago by owner,7000000,1.08 L,Rs70 Lac,48,7635,"in Anand View Apartment, Shahibaug, Ahmedabad",,,,Moinuddin Chisti Mosque (None) | Dariyakhan Ghummaj (None) | Gayatri Mandir (None) | Gujarat State Police Welfare Hospital (None) | Eye Research Centre And Retina Foundation (None) | ESIC Hospital (None) | Sparsh Netralaya (None) | Akshardeep Orthopaedic Hospital (None) | Austmangal Surgical Hospital (None) | Akshar Krupa Hospital (None) | Arihant Heart And Medical Hospital (None) | Shreeji Neonatal and Child Care (None) | Adinath Hospital Ahmedabad (None) | Jariwala Women's Hospital (None) | The Gujarat Research and Medical Institute Rajasthan Hospital (None) | Reshambhai Fertility Hospital (None) | Jain Hospital (None) | Jeevandeep Hospital Shashibaug (None) | Shiv Sharddha Nursing Home and Super Speciality Clinics (None) | Anand Multi Speciality Hospital Ahmedabad (None) | Shree Bharti Vallabh Hospital (None) | Puneet Maternity Nursing Home (None) | Ami Eye Clinic (None) | Kalptaru Hospital (None) | Chandramani Hospital (None) | Shachi Women's Hospital (None) | Sagar Multi Speciality Hospital (None) | Swari Ent Hospital Ahmedabad (None) | Baps Yogiji Maharaj Hospital (None) | Clear Vision Eye Hospital (None) | Jeel Children Hospital And Neonatal and Vaccination Center (None) | Raj Nursing Home Ahmedabad (None) | Jay Orthopaedic Hospital (None) | Military Hospital (None) | U. N.Mehta Institute Of Cardiology and Research Centre (None) | Zeal Maternity And Nursing Home (None) | Krishna Maternity and Nursing Home (None) | B.J. Medical College Hospital (None) | Namrata Heart and Medical Clinic (None) | Rachana Hospital (None) | Dr. Atul Vaidhya (None) | Narang Eye Hospital Munohwa By Pass Chowk (None) | Bodycare Orthopaedic and Trauma Hospital (None) | Dr. Manish Ravals Hospital (None) | Harsh Neurosurgical Hospital (None) | Naeeka (None) | HANDI HOTEL (None) | BJ Medical College Haripura - (None) | Sabarmati bridge cabin railway station (None) | Sabarmati junction railway station (None)
S87884256,"Flat/Apartment for Sale in Sukirti 54, Shela, Ahmedabad",Flat/Apartment,Sukirti 54,3,3,,968,,Immediate,Updated 8hrs ago by owner,8200000,8471,Rs82 Lac,49,27163,"in Sukirti 54, Shela, Ahmedabad",,,,Thaltej Metro Station (None) | Applewoods Galleria Mall (None) | Shela Road (None) | LDR International School (None) | LJ University (None) | Adwait Multispecialty Hospital (None) | SVP International Airport (None) | Sarkhej Railway Station (None)
B87733298,"Residential Land/Plot for Sale in Bellevue Vieraaa by Davda Infra, Bavla, Ahmedabad",Residential Land/Plot,Bellevue Vieraaa by Davda Infra,0,0,,,,Immediate,Updated 4w ago by builder,6300000,1354,Rs 21 Lac - 1.05 Crore,47,6177,"in Bellevue Vieraaa by Davda Infra, Bavla, Ahmedabad",,,,Brand Factory (None) | Sun Avenue (None) | Rajkot Ahmedabad Highway (None) | New Samarath English School (None) | Shreyas School (None) | Medilink Hospital (None) | Bansi hospital (None) | Punjab National Bank (None) | State Bank of India (None) | Mukata Public Park (None) | Anaya Surgical Hospital (None) | SandBurg - A Food Court in Ahmedabad (None) | PARAMPARA QUALITY FOODS (None) | Shreyas Folk Museum (None)
M88303446,"Independent House/Villa for Sale in Sankalp Bungalow, Motera, Ahmedabad",Independent House/Villa,Sankalp Bungalow,4,5,179.0,,,Immediate,Updated yesterday by owner,40000000,1.6 L,Rs4 Crore,1008530,6075,"in Sankalp Bungalow, Motera, Ahmedabad",,,,4D Square mall (None) | Koteshwar Mahadev Temple Mandir (None) | Sant Asharamji Ashram (None) | Guru Mandir (None) | Om shanti (None) | Lotus Multispeciality Hospital (None) | Pushpa Children Hospital and Neonatal Care (None) | Param Multispeciality Hospital (None) | Sudarshan Multispeciality Hospital (None) | Vijaya Maternity and Surgical Nursing Home (None) | Shilp E.N.T Clinic and Hospital (None) | J K Dental Hospital (None) | Sevak Maternity & Surgical Hospital (None) | Parimal Hospital (None) | Om Pediatric and Neonatal Criticare Hospital (None) | Netra Jyoti Eye and Ent Hospital (None) | Sanskar Heart Care And Medical Hospital (None) | Amrut Arogyadham Medical Hospital (None) | Navodaya Hospital for Neonates and Children (None) | Sentara Multispeciality Hospital (None) | Shree Sai Children Hospital (None) | Satyam Children Hospital (None) | Rhythm Heart and Medical Hospital (None) | Indus Hospital (None) | Chandkheda Orthopedic & Surgical Hospital (None) | Shivam Surgical and Dental Hospital (None) | Shreyas Orthopedic Hospital Ahmedabad (None) | Kanoria Hospital And Research Centre Gandhinagar (None) | Navjivan Hospital (None) | Rajdip Children Hospital (None) | Ansh Multispeciality Hospital (None) | Dhruvi ENT Hospital (None) | Sharda Eye Hospital (None) | Satyamev Hospital (None) | Utkarsh Hospital Ahmedabad (None) | Pushp Hospital and Maternity Home (None) | Devarshi Super Speciality Hospital (None) | Vallabhpark (None) | Fuel (None) | AFC Garden Restaurant (None) | Gujarat Technological University (None) | Dream Scriptor (None) | Gyan bhandar library (None)
L87447004,"Flat/Apartment for Sale in Lalan Ashwamegh Pearl, Maninagar East, Ahmedabad",Flat/Apartment,Lalan Ashwamegh Pearl,3,3,,252.0,Semifurnished,Immediate,Updated 5d ago by owner,14500000,"57,539",Rs1.45 Crore,48,17690,"in Lalan Ashwamegh Pearl, Maninagar East, Ahmedabad",,,,Shree Swaminarayan Temple Gadi Sansthan (None) | Manikarnikeshwar Mahadev Temple (None) | Rukshmani Hospital (None) | ESIS HOSPITAL (None) | Rukshmani Government Hospital (None) | Vani Hospital & IVF center (None) | Vani IVF Center (None) | Pallav J M Desai Memorial Hospital Better Health Pvt.Ltd. (None) | Vivek Children Hospital Khokhara (None) | Aarti Surgical Nursing Home (None) | Dr Dipak C Shah E N T Hospital (None) | Shashvat Child Care (None) | Het Childcare Hospital (None) | Ahmedabad Medical Centre (None) | Kamal Hospital Ahmedabad (None) | Yogiji Medical Hospital (None) | Kunal Medical Hospital Ahmedabad (None) | Shrreeji Surgical Hospital (None) | Palak Hospital Ahmedabad (None) | Aastha Hospital Ahmedabad (None) | Child Care Surgical Hospital (None) | Gandhi Charitable Homeopathy Clinic (None) | Ravi Surgical Hospital Ahmedabad (None) | Dr. Shurti Ent Hospital (None) | Nilkanth Hospital (None) | Ansuya General Hospital (None) | Sharda Surgical Hospital (None) | Dr. Ashish B. Dave (None) | Shruti ENT Hospital (None) | Kanan Maternity and Nursing Home (None) | Parikh Orthopedic Hospital (None) | Parimal Hospital Ahmedabad (None) | Synergy Neonatal and Pediatric Centre (None) | Sneh Clinic (None) | Apollo Clinic (None) | Ratan Deep Surgical And Endoscopy Clinic (None) | Devam Hospital (None) | Ashirwad Children and Eye Hospital (None) | Tiwaris Dental Clinic (None) | Abhishek Hospital and Heart Centre (None) | Kushi Women Hospital (None) | Akshar Surgical Hospital Maninagar (None) | Maya Maternity Hospital (None) | Raghuvir Eye Hospital (None) | Dr. Dave Eye Care (None) | V and M Orthopaedic Centre (None) | Vasavda Community Centre (None) | Maninagar Railway Station (None) | Maninagar Bus stop (None) | Maninagar railway station (None)
U88177770,"Flat/Apartment for Sale in Dev Vihaan, Motera, Ahmedabad",Flat/Apartment,Dev Vihaan,3,3,,1365.0,Furnished,Immediate,Updated 5d ago by owner,16500000,6997,Rs1.65 Crore,1008530,6075,"in Dev Vihaan, Motera, Ahmedabad",,,,4D Square mall (None) | Sant Asharamji Ashram (None) | Ramji Mandir (None) | Koteshwar Mahadev Temple Mandir (None) | Jain Derasar (None) | Vaishno Devi Mataji Mandir (None) | Dharmeshawar Mahadev Temple (None) | Sevak Maternity & Surgical Hospital (None) | Parimal Hospital (None) | Om Pediatric and Neonatal Criticare Hospital (None) | J K Dental Hospital (None) | Sanskar Heart Care And Medical Hospital (None) | Indus Hospital (None) | Param Multispeciality Hospital (None) | Rajdip Children Hospital (None) | Lotus Multispeciality Hospital (None) | Pushpa Children Hospital and Neonatal Care (None) | Dhruvi ENT Hospital (None) | Sharda Eye Hospital (None) | Shilp E.N.T Clinic and Hospital (None) | Sudarshan Multispeciality Hospital (None) | Vijaya Maternity and Surgical Nursing Home (None) | Shree Aman Hospital (None) | Netra Jyoti Eye and Ent Hospital (None) | Panchshil Hospital (None) | Neelkamal Hospital Pvt Ltd Pooja Hospital (None) | Aashirwad Surgical Hospital and Nursing Home (None) | Divya Jyot Eye Hospital (None) | Sanjivan Heart and Medical Hospital (None) | Shreeji Clinic and Nursing Home (None) | Sivmm Kidney Hospital (None) | Geeta Maternity Hospital (None) | Parth Hospital Ahmedabad (None) | Vasudha Eye Hospital (None) | Sabarmati Development Society Sanchalit Sheth Shri Pukhraj Raichand General Hospital (None) | Amruta Hospital and Heart Centre (None) | Khara Fracture and Orthopaedic Hospital (None) | Amrut Arogyadham Medical Hospital (None) | Navodaya Hospital for Neonates and Children (None) | Sentara Multispeciality Hospital (None) | Utkarsh Hospital Ahmedabad (None) | Aryan's (None) | Vallabhpark (None) | Hdfc bank (None) | Gol bank (None) | Bank of baroda (None) | MAHARAJ Food Corner (None) | AFC Garden Restaurant (None) | Kali road railway station (None) | Dream Scriptor (None)
C87534016,"Flat/Apartment for Sale in Nilkanth Dharm Lekh, Hathijan, Ahmedabad",Flat/Apartment,Nilkanth Dharm Lekh,3,2,186.71,180.65,Furnished,Immediate,Updated 1w ago by owner,6500000,"35,981",Rs65 Lac,48,14814,"in Nilkanth Dharm Lekh, Hathijan, Ahmedabad",,,,Ashadeep Polyclinic and Nursing Home (None) | Geratpur railway station (None)
C87221052,"Independent House/Villa for Sale in Thaltej, Ahmedabad",Independent House/Villa,,5,5,575.0,425.0,Furnished,Immediate,Updated 2w ago by owner,87000000,1.51 L,Rs8.7 Crore,49,1294,"in Thaltej, Ahmedabad",,,,Gurukul (None) | Bank of baroda ATM (None) | Axis bank ATM (None) | Samarpan Maternity And Urosurgical Hospital (None) | Surveen Children Hospital And Vaccination Centre (None) | Udit Hospital Multi Speciality (None) | Apex Heart Institute (None) | Sal Hospital and Medical Institute (None) | Mehta Hospital Siddhachal (None) | Chandandwar Hospital (None) | Dr. Manish Goyal (None) | Raghudeep Eye Clinic (None) | Neil Hospital Ahmedabad (None) | Rainbow Super Speciality Children's Hospital (None) | Arthro Care Hospital (None) | Sterling Hospital Div. Of Addlife Medical Institute Pvt. Ltd. (None) | The Vitreoretina Clinic and Eye Hospital (None) | P.N.Desai Eye Hospital (None) | Netram Care Eye Hospital (None) | Cims Hospital Private Limieted (None) | Om Children Hospital (None) | Aroma Womens Hospital (None) | Tirtham Surgical and Laparoscopic Centre (None) | Shri Gordhandas Charitable Hospital (None) | Shreekrishna Hospital and Health Care Centre (None) | Shashwat Hospital and Research Center Ahmedabad (None) | Nandan Maternity Home (None) | Brinda Women's Hospital (None) | Kalpana Maternity and Nursing Home Ahmedabad (None) | Kidney And Urology Hospital (None) | Aditya Multi-Speciality Hospital (None) | Sharda Eye Hospital Phaco And Laser Centre - Ahmedabad (None) | Chandrabhan Hospital and Gynac Institute (None) | Shangrila Bunglows (None) | Ramanand gurukul swastik hall (None) | Raghunath Party Plot (None) | Indian oil (None) | PVR acropolis mall (None) | Adlabs BIG Cinema (None) | V.Desi Food Couet (None) | Barbeque Nation (None) | Black Salt (None) | Subway (None) | Honest (None) | Subway (None) | Atithi Dining Hall (None) | Havmor (None) | Nirma School (None) | Indian Institute Of Management (None) | Azista Aerospace (None)
D75991359,"Flat/Apartment for Sale in Rang Reality Seattle Sky, Shantipura, SP Ring Road West",Flat/Apartment,Rang Reality Seattle Sky,5,4,,3200.0,Semifurnished,Immediate,Updated 1w ago by owner,16500000,5156,Rs1.65 Crore,49,36727,"in Rang Reality Seattle Sky, Shantipura, SP Ring Road West",,,,"APMC Metro Station (None) | NH-147 (None) | Shanti Asiatic School (None) | LJ campus (None) | Sahyog Hospital (None) | Sardar Vallabhbhai Airport (None) | Sarkhej, Station (None) | SWATI TRINITY (None) | Crowne Plaza (None) | Maniar's Wonderland (None) | Gulmohar Greens Golf (None)"
D88199610,"Flat/Apartment for Sale in Captown Enhance, Shilaj, Ahmedabad",Flat/Apartment,Captown Enhance,3,3,,1000.0,Semifurnished,Immediate,Updated 2d ago by owner,11000000,"11,000",Rs1.1 Crore,49,7647,"in Captown Enhance, Shilaj, Ahmedabad",,,,SoBo Centre (None) | Atm hdfc bank (None) | Icici ATM (None) | Hdfc ATM (None) | Axis ATM (None) | State bank of india sbi ATM (None) | Vanza Hospital (None) | Bopal Multispeciality Hospital (None) | Royal Maternity and Nursing Home (None) | Aastha Orthopaedic Hospital Ahmedabad (None) | Shreeji Children Hospital (None) | Bopal Eye Care Centre (None) | Krishna Maternity Nursing Home (None) | Adarsh Hospital (None) | Vaishali Hospital (None) | Shivam Hospital (None) | Laxmi Heart and Medical Hospital (None) | Jay Prasuti Gruh and Nursing Home (None) | Devasya Superspeciality Kidney Institute and Research Centre (None) | Life Care Hospital (None) | Raghunath Party Plot (None) | Sterling City (None) | Bopal gam (None) | AMTS Ghuma Bus terminal (None) | Ghuma BRTS terminal (None) | Indian oil CNG n Petrol (None) | State bank of india (None) | State bank of india (None) | Bean Box Cafe (None) | Havmor restaurant (None) | Jalaram Parotha house (None) | McDonald's (None) | Black Salt (None) | The Cafe Date (None) | Purohit Chavana and Sweet Mart (None) | Hocco Eatery (None) | Satva Vikas School (None) | DPS - Delhi Public School (None) | Ambli road railway station (None) | Gora railway station (None) | TatvaSoft (None)
U88318652,"Independent House/Villa for Sale in Parshwnath Township, Naroda, Ahmedabad",Independent House/Villa,Parshwnath Township,3,3,111.48,,Furnished,Immediate,Updated 5d ago by owner,15000000,"12,500",Rs1.5 Crore,48,7620,"in Parshwnath Township, Naroda, Ahmedabad",,,,Sant nirankari Ashram (None) | Sai baba (None) | Shivam Surgical Hospital (None) | Vikas Medical and Heart Hospital (None) | Poojan Maternity and Infertility Clinic (None) | Parvati Jadav Hospital (None) | Soni Nursing Home Ahmedabad (None) | Gitanjali Children Hospital (None) | Uma Maternity and Nursing Home (None) | Siddhi Hospital Ahmedabad (None) | Mahadev Eye Care (None) | Akshar Eye Hospital (None) | Dr. Suresh Balani (None) | Smt Shobhadevi Ent Hospital (None) | Rudraksh Hospital (None) | Trupti Hospital Saijpur (None) | Saraswati Eye Hospital Ahmedabad (None) | Chirayu Surgical Hospital (None) | Priyal Hospital (None) | Aadya Eye and Ent Hospital (None) | Karnavati Super Speciality Hospital (None) | Prathna Surgical And Medical Hospital (None) | Navjivan Maternity and Orthopaedic Hospital Ahmedabad (None) | Parth Maternity and Medical Nursing Home (None) | Setu Surgical Hospital Ahmedabad (None) | Navjivan Orthopaedic and Maternity Hospital (None) | Suvan Eye Care (None) | Rugved Multispeciality Hospital (None) | Prasad Hospital Ahmedabad (None) | Rukshmani Surgical Hospital (None) | Shivam Heart and Medical Hospital (None) | Anand Surgical Hospital Ltd. (None) | Jeevandeep Hospital Sardanagar (None) | Aagman Maternity and Gynec Hospital (None) | Naroda Gam (None) | CNG (None) | Petrol pump Nava Naroda (None) | Maya CINEMA -CLOSED (None) | State bank of india (None) | Hotel Emerland (None) | Kabir Restaurant (None) | Sabri Kathiyavadi (None) | TGB (None) | Spoons n straws (None) | Dominos (None) | Dadu Cafe (None) | Sardargram railway station (None) | Sahijpur railway station (None) | Naroda railway station (None) | Patel.k.k.muni library (None)
F84658978,"Flat/Apartment for Sale in Takshashila Air, Ellisbridge, Ashram Road, Ahmedabad",Flat/Apartment,Takshashila Air,3,3,,,Semifurnished,Immediate,Updated yesterday by owner,19000000,8050,Rs1.9 Crore,49,7670,"in Takshashila Air, Ellisbridge, Ashram Road, Ahmedabad",,,,Ahmedabad Historic Gujari Bazaar Sunday Market (None) | Temple (None) | Jalaram Mandir (None) | Jaliyan Orthopaedic Hospital (None) | Sparsh Orthopedic Oncology Clinic (None) | Dr. Manoj Tank E.N.T. Hospital (None) | Karnavati Hospital Pvt. Ltd. (None) | Shree Ch Nagari Eye Hospital (None) | Abhyankar Nursing Home (None) | Stavya Spine Hospital and Research Institute (None) | Dr Praful Munishi's Nursing Home (None) | Smt.NHL Municipal Medical College Hospital (None) | Amardeep Multispeciality Children Hospital (None) | Dr. Dilip Modi Hospital (None) | Vrundavan Children Hospital (None) | Nishant E N T Hospital (None) | Dr. Devendra Kanaiyalal Hospital and Nursing Home (None) | Gujrat Diagnostic Center and Pathology Laboratory (None) | Gandhi Uro Care (None) | Shree Harikrupa Hospital (None) | Niyati Ent Hospital (None) | Sannidhya Hospital (None) | HCG Multi Specialty Hospital (None) | Hcg Medi-Surge Hospitals Private Limited (None) | Dr.Santosh C.Raibagkar (None) | Dr.Joshi Maternity And Gynec Hospital (None) | Krupanidhi Hospital (None) | Saraiya Plastic Surgery And Burns Hospital (None) | Gheewala Hospital (None) | Aash Arthoscopy Centre (None) | Dr. Rajendra C. Patel Orthopaedic Nursing Home (None) | Navkar Plastic Surgery Hospital (None) | Peshant House Hospital (None) | Sarthak Orthopaedic Hospital Parimal Crosssing (None) | Bavishi Hospital (None) | Tagore Hall (None) | Lal Darwaja AMTS Bus Stop (None) | Paldi Bus Stand (None) | CNG Adani (None) | The state bank of india ahmedabad office (None) | Jai Jalaram Parontha House (None) | McDonald's (None) | Udipi Cafe (None) | Swati Snacks (None) | Takshshila Food Court (None) | Navchetan School (None) | Gandhigram railway station (None) | Sakar Granito India Pvt. Ltd. (None) | TM Systems Pvt. Ltd. (None) | British library ahmedabad (None)
N84289002,"Flat/Apartment for Sale in Ranchod Bhuvan, Paldi, Ahmedabad",Flat/Apartment,Ranchod Bhuvan,5,6,,340.0,Furnished,Immediate,Updated Just now by owner,18500000,"54,411",Rs1.85 Crore,49,1548,"in Ranchod Bhuvan, Paldi, Ahmedabad",,,,Shahi Masjid - Dargah Hazrat Ali Sher Bangali (None) | Temple (None) | Jalaram Mandir (None) | Bank of india ATM (None) | Shaurya Hospital Ahmedabad (None) | Dr. Atul H Kansara E.N.T Hospital (None) | Stavan Eye Clinic (None) | Long Life Hospital Ahmedabad (None) | Sushrut Hospital Ahmedabad (None) | Shushtrut Hospital (None) | Dr Chirag M Desai Eye Care (None) | Bavishi Hospital (None) | Het Eye Care (None) | My dentist (None) | Navkar Ear Nose Throat Hospital (None) | Navkar Plastic Surgery Hospital (None) | R. Tolat Eye Clinic (None) | Jyoti Eye Hospital- Phaco Laser Centre (None) | Peshant House Hospital (None) | Gheewala Hospital (None) | Saraiya Plastic Surgery And Burns Hospital (None) | Krupanidhi Hospital (None) | Ratnam Eye Hospital (None) | Aarna Super Speciality Hospital (None) | Chirayu Orthopaedic and Spine Hospital (None) | Amijyot Eye Hospital (None) | Sanket Children Hospial (None) | Navkalp Children Hospital (None) | Gandhi Uro Care (None) | Gujrat Diagnostic Center and Pathology Laboratory (None) | Ashray Clinic (None) | Nishant E N T Hospital (None) | Vrundavan Children Hospital (None) | Aash Arthoscopy Centre (None) | Dr. Devendra Kanaiyalal Hospital and Nursing Home (None) | Design Gallery (None) | Staff Parking (None) | Paldi Bus Stand (None) | Hindustan Petroleum Station (None) | CNG Adani (None) | Ansh Petrol Pump (None) | Hdfc bank paldi branch (None) | Indian bank (None) | Udipi Cafe (None) | Amul (None) | Chai (None) | Navchetan School (None) | Exhibition & Spatial Design (None) | Sakar Granito India Pvt. Ltd. (None) | 9 Aple Web (None)
Q82835320,"Flat/Apartment for Sale in Shashvat Eternia, Tragad, Ahmedabad",Flat/Apartment,Shashvat Eternia,3,3,99.76,95.44,Unfurnished,Immediate,Updated 3w ago by owner,8700000,"87,209",Rs87 Lac,1008530,6092,"in Shashvat Eternia, Tragad, Ahmedabad",,,,Prime Dental Care (None) | Dr Yashvant Chhatbar (None) | Mahavir Clinic and Nursing Home (None) | Health Center (None) | Pushp Hospital and Maternity Home (None) | Pushpam Hospital Ahmedabad (None) | Satyamev Hospital (None) | Ansh Multispeciality Hospital (None) | Kalyani Nursing Home and Sonography Clinic (None) | Devarshi Super Speciality Hospital (None) | Navjivan Hospital (None) | Utkarsh Hospital Ahmedabad (None) | Shreyas Orthopedic Hospital Ahmedabad (None) | Shivam Surgical and Dental Hospital (None) | Chandkheda Orthopedic & Surgical Hospital (None) | Rhythm Heart and Medical Hospital (None) | Satyam Children Hospital (None) | Shree Sai Children Hospital (None) | Sentara Multispeciality Hospital (None) | Navodaya Hospital for Neonates and Children (None) | Management Parking (None) | New Parking (None) | D-cabin (None) | Vallabhpark (None) | Kalupur cooperative commercial bank (None) | F1 Pharma Canteen (None) | Management Mess (None) | NIM Auditorium (None) | Silver Oak College Of Engineering & Technology (None) | Chandkheda road railway station (None) | Sabarmati 'd' cabin railway station (None)
B77278671,"Flat/Apartment for Sale in Swapnil Apartment, Nava Vadaj, 132 Ft Ring Road",Flat/Apartment,Swapnil Apartment,2,2,,,Semifurnished,Immediate,Updated 1w ago by owner,7000000,"63,063",Rs70 Lac,49,15954,"in Swapnil Apartment, Nava Vadaj, 132 Ft Ring Road",,,,Gopnath Mahadev Mandir (None) | Sarveshwar Mahadev Temple (None) | Khodiyar Temple (None) | Sbi ATM (None) | Bank of india ATM (None) | Canara bank ATM (None) | Axis ATM (None) | Idbi ATM (None) | Jigisha Nursing Home (None) | Dr.Anil V.Patel Eye Hospital (None) | Ami-Sagar Hospital (None) | Pulse Iccu and Hospital (None) | Krishna Hospital and ICCU (None) | Astha Orthopedic and Spine Hospital (None) | Dr.Saurabh Shah Orthopaedic Hospital (None) | Sanjivani Heart and Medical Hospital Ahmedabad (None) | Auro Ent Hospital (None) | Gayatri Heart And Medical Hospital Bhimjipura (None) | Gayatri Childrens Hospital (None) | Jatan Children Hospital Ahmedabad (None) | Dr Ghanshyam Dabhi (None) | Devasya Kidney and Multi speciality Hospital Ahmedabad (None) | Navjyot Eye Hospital Ahmedabad (None) | Vadaj Orthopaedic Hospital (None) | Manshi Multispeciality Hospital (None) | Maruti Orthopedic Hospital Nava Vadaj (None) | Ami Eye Clinic (None) | Dr. Manish Ravals Hospital (None) | Bodycare Orthopaedic and Trauma Hospital (None) | Harsh Neurosurgical Hospital (None) | Shachi Women's Hospital (None) | Swari Ent Hospital Ahmedabad (None) | Matruchhaya Children Hospital (None) | Trisha Trauma Centre and Icu (None) | Kumud Heart Hospital and Medical Nursing Home Ahmedabad (None) | Shah Hospital - Vadaj (None) | Amijeet Maternity Hospital (None) | Siddhi Heart and Medical Hospital (None) | Poojan Children Hospital And Neonatal Care Centre (None) | Jay Umiya Hospital (None) | Vardan Eye Hospital Ahmedabad (None) | Killol Children Hospital (None) | Tejal Eye Hospital (None) | Under ground Parking (None) | Akhbarnagar petrol pump (None) | PVR Cinemas (None) | Vrundavan Restaurant (None) | HANDI HOTEL (None) | Gujarat University (None) | Chandrakant baxi muncipal library (None)
E88465900,"Independent House/Villa for Sale in CTM, Amraiwadi, Ahmedabad",Independent House/Villa,,2,1,62.47,,Unfurnished,Immediate,Updated yesterday by owner,9500000,1.52 L,Rs95 Lac,48,23811,"in CTM, Amraiwadi, Ahmedabad",,,,Chamunda Mata Temple (None) | Saibaba Temple (None) | Temple (None) | Mahadev Temple (None) | Rajni Women's Hospital and Research Centre (None) | Aniket Ent Hospital (None) | Anoop Children Hospital (None) | Dhruv Health Care (None) | Babycare Children Hospital and Neonatal Centre (None) | Nadkarni's 21St Century Hospitals Pvt Ltd (None) | Prabhu Nursing Home Ahmedabad (None) | Shivam Eye Hospital (None) | Ashirwad Surgical Hospital C.T.M (None) | Bhakti Maternity and Sonography Clinic (None) | Shrreeji Surgical Hospital (None) | Kunal Medical Hospital Ahmedabad (None) | Rukshmani Medical Hospital (None) | Yogiji Medical Hospital (None) | Palak Hospital Ahmedabad (None) | Gujarat Hospital Ahmedabad (None) | Jayshri Medical Hospital (None) | Shreejee Hospital (None) | Shashvat Child Care (None) | Gurunanak Hospital (None) | Shukan Maternity Home (None) | Rukshmani Government Hospital (None) | Rukshmani Hospital (None) | Vani Hospital & IVF center (None) | Vani IVF Center (None) | Hariom Multispeciality Hospital (None) | ESIS HOSPITAL (None) | Vivek Children Hospital Khokhara (None) | Pallav J M Desai Memorial Hospital Better Health Pvt.Ltd. (None) | Ansuya General Hospital (None) | Shreedhar Hospital Ahmedabad (None) | Loving Community (None) | Vasavda Community Centre (None) | Maninagar Bus stop (None) | Dena bank (None) | Royal Pride (None) | Annapurna (None) | Gayatri (None) | VIVEKANAND VIDYALAYA (None) | Venus Tape (None) | KAMAL STEEL (None) | ABD Diamonds Private Limited (None)
K88077026,"Flat/Apartment for Sale in Shiv Bungalows, Nana Chiloda, SP Ring Road East",Flat/Apartment,Shiv Bungalows,3,4,138.69,,Semifurnished,Immediate,Updated yesterday by owner,12000000,"86,523",Rs1.2 Crore,48,9942,"in Shiv Bungalows, Nana Chiloda, SP Ring Road East",,,,Sai baba (None) | Sant nirankari Ashram (None) | Gayathri Hospital Ahmedabad (None) | Naroda Gam (None) | Kaka ni bhajipav (None) | Naroda railway station (None)
M83206340,"Flat/Apartment for Sale in Karnavati Enclave, New Maninagar, Janta Nagar, Ahmedabad",Flat/Apartment,Karnavati Enclave,3,2,,1360.0,Furnished,Immediate,Updated yesterday by owner,5800000,4264,Rs58 Lac,48,15270,"in Karnavati Enclave, New Maninagar, Janta Nagar, Ahmedabad",,,,Chamunda Mata Temple (None) | Saibaba Temple (None) | Temple (None) | Mahadev Temple (None) | Rajni Women's Hospital and Research Centre (None) | Aniket Ent Hospital (None) | Anoop Children Hospital (None) | Dhruv Health Care (None) | Nadkarni's 21St Century Hospitals Pvt Ltd (None) | Babycare Children Hospital and Neonatal Centre (None) | Shivam Eye Hospital (None) | Prabhu Nursing Home Ahmedabad (None) | Ashirwad Surgical Hospital C.T.M (None) | Bhakti Maternity and Sonography Clinic (None) | Shukan Maternity Home (None) | Rukshmani Medical Hospital (None) | Gujarat Hospital Ahmedabad (None) | Shrreeji Surgical Hospital (None) | Kunal Medical Hospital Ahmedabad (None) | Jayshri Medical Hospital (None) | Palak Hospital Ahmedabad (None) | Yogiji Medical Hospital (None) | Hariom Multispeciality Hospital (None) | Shreejee Hospital (None) | Shreedhar Hospital Ahmedabad (None) | Gurunanak Hospital (None) | Shashvat Child Care (None) | Sparsh Multi Speciality Hospital (None) | Rukshmani Government Hospital (None) | Rukshmani Hospital (None) | Rangam Multispeciality Hospital (None) | Vani Hospital & IVF center (None) | Vani IVF Center (None) | Loving Community (None) | Vasavda Community Centre (None) | Maninagar Bus stop (None) | Dena bank (None) | Hdfc bank (None) | Royal Pride (None) | Annapurna (None) | Gayatri (None) | Hotel Purohit Por (None) | VIVEKANAND VIDYALAYA (None) | KAMAL STEEL (None) | Venus Tape (None) | ABD Diamonds Private Limited (None)
